data_file,sorter_name,accuracy,recall,precision
C_Difficult1_noise005,gmm,0.666749008,0.750621856,0.831965153
C_Difficult1_noise005,dpgmm,0.903106342,0.903106342,1
C_Difficult1_noise005,hdbscan,0.624641175,0.899781273,0.673876593
C_Difficult1_noise01,gmm,0.906622725,0.906622725,1
C_Difficult1_noise01,dpgmm,0.904978934,0.906023355,0.998729874
C_Difficult1_noise01,hdbscan,0.626008297,0.9009132,0.674480466
C_Difficult1_noise015,gmm,0.897582264,0.9009361,0.995871065
C_Difficult1_noise015,dpgmm,0.893260109,0.899189136,0.992684633
C_Difficult1_noise015,hdbscan,0.607750086,0.855933013,0.676342454
C_Difficult1_noise02,gmm,0.759820876,0.820103572,0.923399828
C_Difficult1_noise02,dpgmm,0.8181265,0.836919287,0.974004903
C_Difficult1_noise02,hdbscan,0.548509011,0.808987765,0.649861912
C_Difficult2_noise005,gmm,0.598230964,0.725231857,0.85269174
C_Difficult2_noise005,dpgmm,0.799001033,0.813264121,0.968775345
C_Difficult2_noise005,hdbscan,0.593255627,0.835129016,0.66758393
C_Difficult2_noise01,gmm,0.494049649,0.739131002,0.664572426
C_Difficult2_noise01,dpgmm,0.770524248,0.788188464,0.965044968
C_Difficult2_noise01,hdbscan,0.49810545,0.793955316,0.56544376
C_Difficult2_noise015,gmm,0.643318806,0.666846744,0.94560297
C_Difficult2_noise015,dpgmm,0.69081164,0.800315061,0.84531153
C_Difficult2_noise015,hdbscan,0.404185448,0.603691401,0.569556673
C_Difficult2_noise02,gmm,0.523347529,0.766952291,0.598860474
C_Difficult2_noise02,dpgmm,0.524517674,0.555042242,0.895196303
C_Difficult2_noise02,hdbscan,0.291665526,0.924259414,0.298566805
C_Easy1_noise005,gmm,0.890654127,0.890654127,1
C_Easy1_noise005,dpgmm,0.892366362,0.892366362,1
C_Easy1_noise005,hdbscan,0.902748861,0.902748861,1
C_Easy1_noise01,gmm,0.672273438,0.751310063,0.902670112
C_Easy1_noise01,dpgmm,0.887340965,0.887340965,1
C_Easy1_noise01,hdbscan,0.807478242,0.890818669,0.898633018
C_Easy1_noise015,gmm,0.786493302,0.838414761,0.90405366
C_Easy1_noise015,dpgmm,0.786945557,0.838989808,0.903846154
C_Easy1_noise015,hdbscan,0.743376747,0.801049617,0.89824854
C_Easy1_noise02,gmm,0.605125659,0.650033207,0.852385622
C_Easy1_noise02,dpgmm,0.716471718,0.753152195,0.86741573
C_Easy1_noise02,hdbscan,0.625896499,0.663684483,0.867034991
C_Easy2_noise005,gmm,0.893199017,0.893199017,1
C_Easy2_noise005,dpgmm,0.893494002,0.893494002,1
C_Easy2_noise005,hdbscan,0.846380069,0.846380069,1
C_Easy2_noise01,gmm,0.910020536,0.920426203,0.988454707
C_Easy2_noise01,dpgmm,0.902419286,0.902419286,1
C_Easy2_noise01,hdbscan,0.644295154,0.784881675,0.77568513
C_Easy2_noise015,gmm,0.9042474,0.905040512,0.999052683
C_Easy2_noise015,dpgmm,0.905399867,0.906193933,0.999053824
C_Easy2_noise015,hdbscan,0.546773321,0.698926471,0.838449449
C_Easy2_noise02,gmm,0.880857225,0.885071955,0.994483519
C_Easy2_noise02,dpgmm,0.881939402,0.885914179,0.994821045
C_Easy2_noise02,hdbscan,0.295432965,0.957016708,0.299361362
simulation_1,gmm,0.530052502,0.669350603,0.762527103
simulation_1,dpgmm,0.593289088,0.723084318,0.778741919
simulation_1,hdbscan,0.111782642,0.380564021,0.168450516
simulation_90,gmm,0.569987518,0.722437518,0.790650338
simulation_90,dpgmm,0.634551855,0.860552929,0.717037289
simulation_90,hdbscan,0.144086335,0.628583036,0.161930649
simulation_91,gmm,0.393276022,0.534769678,0.55253503
simulation_91,dpgmm,0.487610958,0.653159918,0.572590998
simulation_91,hdbscan,0.103210547,0.331465525,0.116737409
simulation_92,gmm,0.417364441,0.559247066,0.615272912
simulation_92,dpgmm,0.496597486,0.636527741,0.737862185
simulation_92,hdbscan,0.087158715,0.328729702,0.095567784
simulation_95,gmm,0.512047452,0.581670628,0.712251787
simulation_95,dpgmm,0.511037523,0.616228707,0.671865096
simulation_95,hdbscan,0.133677396,0.310878763,0.144843743
simulation_93,gmm,0.493637593,0.773500431,0.620805709
simulation_93,dpgmm,0.532424154,0.821727493,0.620474573
simulation_93,hdbscan,0.069911337,0.396295002,0.071023428
simulation_94,gmm,0.860010683,0.878768831,0.971762043
simulation_94,dpgmm,0.86019212,0.879292392,0.971250379
simulation_94,hdbscan,0.2888796,0.955084173,0.292848521
C_Easy1_noise005,HerdingSpikes2,0.98,0.98,1
C_Easy1_noise01,HerdingSpikes2,0.98,0.99,1
C_Easy1_noise015,HerdingSpikes2,0.97,0.97,1
C_Easy1_noise02,HerdingSpikes2,0.85,0.87,0.96
C_Easy2_noise005,HerdingSpikes2,0.95,0.97,0.98
C_Easy2_noise01,HerdingSpikes2,0.94,0.97,0.97
C_Easy2_noise015,HerdingSpikes2,0.9,0.94,0.95
C_Easy2_noise02,HerdingSpikes2,0.62,0.94,0.65
C_Difficult1_noise005,HerdingSpikes2,0.96,0.98,0.99
C_Difficult1_noise01,HerdingSpikes2,0.95,0.97,0.98
C_Difficult1_noise015,HerdingSpikes2,0.63,0.96,0.65
C_Difficult1_noise02,HerdingSpikes2,0.56,0.91,0.61
C_Difficult2_noise005,HerdingSpikes2,0.65,0.99,0.66
C_Difficult2_noise01,HerdingSpikes2,0.65,0.99,0.65
C_Difficult2_noise015,HerdingSpikes2,0.64,0.97,0.65
C_Difficult2_noise02,HerdingSpikes2,0.51,0.88,0.61
simulation_90,HerdingSpikes2,0.66,0.95,0.7
simulation_91,HerdingSpikes2,0.55,0.92,0.56
simulation_92,HerdingSpikes2,0.53,0.98,0.54
simulation_95,HerdingSpikes2,0.66,0.95,0.71
simulation_1,HerdingSpikes2,0.78,0.98,0.8
simulation_93,HerdingSpikes2,0.55,0.96,0.56
simulation_94,HerdingSpikes2,1,1,1
C_Easy1_noise005,Klusta,,,
C_Easy1_noise01,Klusta,,,
C_Easy1_noise015,Klusta,,,
C_Easy1_noise02,Klusta,,,
C_Easy2_noise005,Klusta,0.13,0.21,0.32
C_Easy2_noise01,Klusta,0.14,0.35,0.19
C_Easy2_noise015,Klusta,,,
C_Easy2_noise02,Klusta,0.14,0.52,0.16
C_Difficult1_noise005,Klusta,0.1,0.34,0.13
C_Difficult1_noise01,Klusta,0.17,0.25,0.35
C_Difficult1_noise015,Klusta,0.12,0.26,0.19
C_Difficult1_noise02,Klusta,0.13,0.39,0.16
C_Difficult2_noise005,Klusta,0.09,0.26,0.12
C_Difficult2_noise01,Klusta,0.22,0.45,0.29
C_Difficult2_noise015,Klusta,0.16,0.44,0.21
C_Difficult2_noise02,Klusta,0.13,0.51,0.14
simulation_90,Klusta,,,
simulation_91,Klusta,,,
simulation_92,Klusta,,,
simulation_95,Klusta,,,
simulation_1,Klusta,,,
simulation_93,Klusta,,,
simulation_94,Klusta,,,
C_Easy1_noise005,MountainSort4,0.97,0.97,1
C_Easy1_noise01,MountainSort4,0.97,0.98,1
C_Easy1_noise015,MountainSort4,0.95,0.95,1
C_Easy1_noise02,MountainSort4,0.81,0.82,0.99
C_Easy2_noise005,MountainSort4,0.97,0.98,1
C_Easy2_noise01,MountainSort4,0.97,0.98,0.99
C_Easy2_noise015,MountainSort4,0.94,0.96,0.98
C_Easy2_noise02,MountainSort4,0.64,0.95,0.66
C_Difficult1_noise005,MountainSort4,0.97,0.98,0.99
C_Difficult1_noise01,MountainSort4,0.95,0.96,0.98
C_Difficult1_noise015,MountainSort4,0.34,1,0.34
C_Difficult1_noise02,MountainSort4,0.34,1,0.34
C_Difficult2_noise005,MountainSort4,0.94,0.95,0.99
C_Difficult2_noise01,MountainSort4,0.94,0.96,0.98
C_Difficult2_noise015,MountainSort4,0.64,0.97,0.66
C_Difficult2_noise02,MountainSort4,0.33,0.99,0.34
simulation_90,MountainSort4,0.89,0.99,0.9
simulation_91,MountainSort4,0.77,0.93,0.79
simulation_92,MountainSort4,0.78,0.97,0.8
simulation_95,MountainSort4,0.77,0.92,0.85
simulation_1,MountainSort4,0.86,0.94,0.93
simulation_93,MountainSort4,0.7,0.99,0.71
simulation_94,MountainSort4,1,1,1
C_Easy1_noise005,SpykingCircus,0.63,0.66,0.94
C_Easy1_noise01,SpykingCircus,0.37,0.39,0.92
C_Easy1_noise015,SpykingCircus,0.54,0.54,1
C_Easy1_noise02,SpykingCircus,0.4,0.4,0.99
C_Easy2_noise005,SpykingCircus,0.34,0.38,0.83
C_Easy2_noise01,SpykingCircus,0.4,0.4,1
C_Easy2_noise015,SpykingCircus,0.32,0.33,0.91
C_Easy2_noise02,SpykingCircus,0.29,0.3,0.86
C_Difficult1_noise005,SpykingCircus,0.37,0.38,0.99
C_Difficult1_noise01,SpykingCircus,0.56,0.57,0.96
C_Difficult1_noise015,SpykingCircus,0.4,0.59,0.6
C_Difficult1_noise02,SpykingCircus,0.24,0.39,0.42
C_Difficult2_noise005,SpykingCircus,0.53,0.57,0.88
C_Difficult2_noise01,SpykingCircus,0.4,0.41,0.88
C_Difficult2_noise015,SpykingCircus,0.3,0.32,0.83
C_Difficult2_noise02,SpykingCircus,0.3,0.55,0.43
simulation_90,SpykingCircus,0.31,0.85,0.37
simulation_91,SpykingCircus,0.14,0.86,0.15
simulation_92,SpykingCircus,0.24,0.77,0.31
simulation_95,SpykingCircus,0.2,0.78,0.32
simulation_1,SpykingCircus,0.19,0.71,0.27
simulation_93,SpykingCircus,0.26,0.86,0.29
simulation_94,SpykingCircus,0.36,0.99,0.37
C_Easy1_noise005,Tridesclous,0.99,0.99,1
C_Easy1_noise01,Tridesclous,0.99,1,0.99
C_Easy1_noise015,Tridesclous,0.96,0.96,1
C_Easy1_noise02,Tridesclous,0.6,0.72,0.65
C_Easy2_noise005,Tridesclous,0.96,0.98,0.98
C_Easy2_noise01,Tridesclous,0.94,0.97,0.97
