data_file,sorter_name,accuracy,recall,precision,false_discovery_rate,miss_rate
Rec_open-field_xx_xx_-210629_VGlut2-ChR2-1_-210629-085256,tridesclous,0.978843406,0.998982715,0.979820069,0.020179931,0.001017285
Rec_open-field_xx_xx_-210629_VGlut2-ChR2-1_-210629-085256,mountainsort5,0.971486929,0.999957613,0.971526937,0.028473063,4.24E-05
Rec_treadmill_6OHDA_xxx_-230413_VGlut2-ChR2-124_-230413-081015,mountainsort5,0.925066768,0.99925816,0.925702505,0.074297495,0.00074184
Rec_treadmill_6OHDA_xxx_-230515_VGlut2-ChR2-2_-230515-083823,mountainsort5,0.497594841,0.499850761,0.497742736,0.002257264,0.000149239
Rec_treadmill_6OHDA_xx_-220607_VGlut2-ChR2-72_-220607-085802,tridesclous,0.968154423,0.972272207,0.995644526,0.004355474,0.027727793
Rec_treadmill_6OHDA_xx_-220607_VGlut2-ChR2-72_-220607-085802,mountainsort5,0.895639392,0.897104531,0.998179833,0.001820167,0.102895469
Rec_treadmill_6OHDA_xx_-220615_VGlut2-ChR2-74_-220615-131834,tridesclous,0.4653397,0.55082338,0.643634508,0.356365492,0.44917662
Rec_treadmill_6OHDA_xx_-220615_VGlut2-ChR2-74_-220615-131834,mountainsort5,0.437487256,0.557205126,0.605441256,0.394558744,0.442794874
Rec_treadmill_6OHDA_xx_-220621_VGlut2-ChR2-64_-220621-095343,tridesclous,0,0,0,0,0
Rec_treadmill_6OHDA_xx_-220621_VGlut2-ChR2-64_-220621-095343,mountainsort5,0.09937328,0.152597459,0.229481026,0.437185641,0.514069208
Rec_treadmill_6OHDA_xx_-220629_VGlut2-ChR2-78_-220629-074457,tridesclous,0.104873717,0.165758944,0.206164174,0.460502493,0.500907723
Rec_treadmill_6OHDA_xx_-220629_VGlut2-ChR2-78_-220629-074457,mountainsort5,0.109350482,0.13320546,0.332015159,0.334651508,0.533461206
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-86_-220926-070923,tridesclous,0,0,0,0,0
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-86_-220926-070923,mountainsort5,0.038799076,0.03892493,0.324324324,0.009009009,0.294408403
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-89_-220926-100021,tridesclous,0.259222427,0.282467669,0.412674176,0.087325824,0.217532331
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-89_-220926-100021,mountainsort5,0.165318318,0.181101272,0.34675128,0.15324872,0.318898728
Rec_treadmill_6OHDA_xx_-221004_VGlut2-ChR2-88_-221004-113241,tridesclous,0,0,0,0,0
Rec_treadmill_6OHDA_xx_-221004_VGlut2-ChR2-88_-221004-113241,mountainsort5,0.162243726,0.162243726,1,0,0.837756274
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-100_-221128-090746,tridesclous,0.366940785,0.538747592,0.478720303,0.187946364,0.127919074
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-100_-221128-090746,mountainsort5,0,0,0,0,0
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-99_-221128-075955,tridesclous,0.76279708,0.810460093,0.940103263,0.059896737,0.189539907
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-99_-221128-075955,mountainsort5,0.506253682,0.784385782,0.678479969,0.321520031,0.215614218
Rec_treadmill_6OHDA_xx_-221205_VGlut2-ChR2-102_-221205-091855,tridesclous,0,0,0,0,0
Rec_treadmill_6OHDA_xx_-221205_VGlut2-ChR2-102_-221205-091855,mountainsort5,0,0,0,0,0
Rec_treadmill_haloperidol_xx_-211026_VGlut2-ChR2-29_-211026-130950,tridesclous,0.86430613,0.864330114,0.999967895,3.21E-05,0.135669886
Rec_treadmill_haloperidol_xx_-211026_VGlut2-ChR2-29_-211026-130950,mountainsort5,0.949868867,0.964840715,0.983926196,0.016073804,0.035159285
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-31_-211027-082103,tridesclous,0.220125949,0.713196326,0.254593285,0.745406715,0.286803674
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-31_-211027-082103,mountainsort5,0.09755357,0.49705319,0.097666541,0.402333459,0.00294681
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-464_-211027-071350,tridesclous,0.126767997,0.180154504,0.299613322,0.700386678,0.819845496
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-464_-211027-071350,mountainsort5,0.213492091,0.462611565,0.283899475,0.716100525,0.537388435
Rec_treadmill_haloperidol_xx_-220210_VGlut2-ChR2-49_-220210-090133,tridesclous,0.580356898,0.780029463,0.731450443,0.268549557,0.219970537
Rec_treadmill_haloperidol_xx_-220210_VGlut2-ChR2-49_-220210-090133,mountainsort5,0,0,0,0,0
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-42_-220225-073112,tridesclous,0.272207979,0.283015339,0.318442515,0.014890818,0.050317995
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-42_-220225-073112,mountainsort5,0.346643375,0.706770635,0.428227879,0.571772121,0.293229365
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-51_-220225-133939,tridesclous,0.161067868,0.17802729,0.40375836,0.09624164,0.32197271
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-51_-220225-133939,mountainsort5,0.058169125,0.152129722,0.171405109,0.328594891,0.347870278
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-57_-220225-082957,tridesclous,0.377493887,0.758951873,0.42214642,0.57785358,0.241048127
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-57_-220225-082957,mountainsort5,0.397713806,0.691250318,0.483160602,0.516839398,0.308749682
Rec_treadmill_haloperidol_xx_-220317_Vglut2-ChR2-36_-220317-080745,tridesclous,0.212317682,0.386021706,0.419038369,0.580961631,0.613978294
