data_file,gt_units,gt_spikes,duration(sec),frequency,events
Rec_open-field_xx_xx_-210629_VGlut2-ChR2-1_-210629-085256,1,117961,2038.599516,24414.0625,1879095
Rec_treadmill_6OHDA_xxx_-230413_VGlut2-ChR2-124_-230413-081015,1,12132,2803.137249,24414.0625,2543696
Rec_treadmill_6OHDA_xxx_-230515_VGlut2-ChR2-2_-230515-083823,2,131104,1980.466463,24414.0625,1780645
Rec_treadmill_6OHDA_xx_-220607_VGlut2-ChR2-72_-220607-085802,1,12226,2379.764204,24414.0625,2247273
Rec_treadmill_6OHDA_xx_-220615_VGlut2-ChR2-74_-220615-131834,2,149562,2975.439258,24414.0625,2805585
Rec_treadmill_6OHDA_xx_-220621_VGlut2-ChR2-64_-220621-095343,3,58481,1953.371259,24414.0625,1797976
Rec_treadmill_6OHDA_xx_-220629_VGlut2-ChR2-78_-220629-074457,3,277898,3967.979356,24414.0625,3675176
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-86_-220926-070923,3,8871,2299.317453,24414.0625,2166224
Rec_treadmill_6OHDA_xx_-220926_VGlut2-ChR2-89_-220926-100021,4,276970,3523.047588,24414.0625,3302202
Rec_treadmill_6OHDA_xx_-221004_VGlut2-ChR2-88_-221004-113241,1,81846,1954.377892,24414.0625,1834824
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-100_-221128-090746,3,50664,1698.525348,24414.0625,1589949
Rec_treadmill_6OHDA_xx_-221128_VGlut2-ChR2-99_-221128-075955,2,28974,3824.450273,24414.0625,3630768
Rec_treadmill_6OHDA_xx_-221205_VGlut2-ChR2-102_-221205-091855,1,186325,2893.818102,24414.0625,2678209
Rec_treadmill_haloperidol_xx_-211026_VGlut2-ChR2-29_-211026-130950,1,36036,3454.261002,24414.0625,3271833
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-31_-211027-082103,2,9401,3464.746762,24414.0625,3153385
Rec_treadmill_haloperidol_xx_-211027_VGlut2-ChR2-464_-211027-071350,1,13333,2457.862144,24414.0625,2332401
Rec_treadmill_haloperidol_xx_-220210_VGlut2-ChR2-49_-220210-090133,3,570052,3183.896166,24414.0625,2875889
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-42_-220225-073112,3,19574,3298.149007,24414.0625,3131518
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-51_-220225-133939,4,291006,3588.814275,24414.0625,3355044
Rec_treadmill_haloperidol_xx_-220225_Vglut2-ChR2-57_-220225-082957,10,1216461,3452.834939,24414.0625,3000206
Rec_treadmill_haloperidol_xx_-220317_Vglut2-ChR2-36_-220317-080745,4,12307,2047.07201,24414.0625,1943080
Rec_treadmill_haloperidol_xx_-220902_VGlut2-ChR2-88_-220902-090917,5,678548,3816.648868,24414.0625,3376652
Rec_treadmill_haloperidol_xx_-230214_VGlut2-ChR2-111_-230214-132341,3,346584,7365.70114,24414.0625,6941289
Rec_treadmill_haloperidol_xx_-230214_VGlut2-ChR2-118_-230214-091639,2,79570,5131.143741,24414.0625,4776960
Rec_treadmill_haloperidol_xx_-230411_VGlut2-ChR2-12_-230411-105353,2,100881,1422.036828,24414.0625,1336864
Rec_treadmill_haloperidol_xx_-230411_VGlut2-ChR2-4_-230411-091515,1,102256,1381.687624,24414.0625,1312421
Rec_treadmill_haloperidol_xx_-230411_VGlut2-ChR2-4_-230411-093826,1,4062,2127.099331,24414.0625,2015732
Rec_treadmill_haloperidol_xx_-230517_VGlut2-ChR2-121_-230517-134621,1,6092,3254.612132,24414.0625,3097011
Rec_treadmill_haloperidol_xx_-230517_VGlut2-ChR2-12_-230517-080130,1,157098,2862.109164,24414.0625,2671226
Rec_treadmill_haloperidol_xx_-230517_VGlut2-ChR2-8_-230517-085158,1,11685,3133.480632,24414.0625,2964920
Rec_treadmill_haloperidol_xx_-231026_VGlut2-ChR2-169_-231026-091339,1,21376,4679.165542,24414.0625,4341101
Rec_treadmill_haloperidol_xx_-231026_VGlut2-ChR2-171_-231026-062741,3,274859,5069.990789,24414.0625,4737198
Rec_treadmill_SCH23390_xx_-211027_VGlut2-ChR2-29_-211027-130514,1,61371,3602.236047,24414.0625,3393326
Rec_treadmill_SCH23390_xx_-211029_VGlut2-ChR2-31_-211029-072512,2,1129,1843.061064,24414.0625,1690132
Rec_treadmill_SCH23390_xx_-220211_VGlut2-ChR2-49_-220211-061854,4,445510,2938.864927,24414.0625,2674118
Rec_treadmill_SCH23390_xx_-220301_Vglut2-ChR2-51_-220301-080341,2,38225,2825.954263,24414.0625,2672729
Rec_treadmill_SCH23390_xx_-220301_Vglut2-ChR2-57_-220301-065045,6,789167,3361.482998,24414.0625,3014554
Rec_treadmill_SCH23390_xx_-220318_Vglut2-ChR2-36_-220318-081315,4,18300,2863.535227,24414.0625,2712411
Rec_treadmill_SCH23390_xx_-220901_VGlut2-ChR2-86_-220901-071057,2,88268,3638.055404,24414.0625,3413644
Rec_treadmill_SCH23390_xx_-220901_VGlut2-ChR2-88_-220901-092430,5,330829,3216.947282,24414.0625,2999775
